City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,selfoss,63.9331,-20.9971,8.91,97,100,13.77,IS,1733693254
338,kendari,-3.945,122.4989,24.96,94,100,0.72,ID,1733693255
339,necochea,-38.5473,-58.7368,15.78,49,23,5.82,AR,1733693256
340,boende,-0.2167,20.8667,23.17,68,38,1.37,CD,1733693258
341,hithadhoo,-0.6,73.0833,27.26,73,36,5.7,MV,1733693259
342,port moresby,-9.4431,147.1797,25.68,89,40,1.54,PG,1733693260
343,magong,23.5654,119.5863,19.43,77,96,15.09,TW,1733693261
344,east ballina,-28.8667,153.5833,24.98,89,60,2.89,AU,1733693262
345,pimentel,-6.8367,-79.9342,25.16,57,0,12.35,PE,1733693263
346,kingston,17.997,-76.7936,26.53,89,75,4.63,JM,1733693264
347,ketchikan,55.3422,-131.6461,5.26,91,100,2.57,US,1733693265
348,cidade velha,14.9167,-23.6167,25.26,65,100,4.63,CV,1733693266
349,paradip garh,20.3167,86.6167,21.22,82,49,1.67,IN,1733693268
350,rio grande,-32.035,-52.0986,16.95,64,71,6.02,BR,1733693269
351,frontera,26.9333,-101.45,12.86,88,100,5.14,MX,1733693270
352,laguna,38.421,-121.4238,17.84,56,0,2.57,US,1733693271
353,mzimba,-11.9,33.6,20.2,77,84,4.59,MW,1733693272
354,mckinleyville,40.9465,-124.1006,13.24,84,0,4.12,US,1733693110
355,nabire,-3.3667,135.4833,23.74,96,100,0.79,ID,1733693275
356,tamanrasset,22.785,5.5228,9.95,14,0,2.57,DZ,1733693276
357,tazacorte,28.629,-17.9293,19.54,73,40,4.63,ES,1733693277
358,cole harbour,44.6724,-63.4751,6.07,93,100,10.8,CA,1733693278
359,kupang,-10.1667,123.5833,26.32,94,40,1.54,ID,1733693279
